ID,类型,方案,玩法名称,组合编号,总注数,中奖注数,赔率,返水,单注金额,示例,玩法说明,简略说明,奖级,玩法缩写,返水状态
90,后三,后三组选,组三,5_26_90,1000,3,0.980/0.850,0/13%,1,投注方案：588[br]开奖号码：后三位 588（顺序不限），即中后三组选三。,从0-9选择2个数字组成二注，所选号码与开奖号码的百位、十位、个位相同，后三号码为对子，顺序不限，即为中奖,至少选择2个号码,,后三组选三,0
93,后三,后三组选,和值A面,5_26_93,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：后三位003（顺序不限）即中后三组选三，或者后三位012（顺序不限）即中后三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码百位、十位、个位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的后三位之和（不含豹子）,组三|组六,后三组选和值A面,0
160,后三,后三组选,和值B面,5_26_160,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,3|6|6$12|12$24|15$30|18$36|24$48|30$60|33$66|39$78|42$84|42$84|45$90,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：后三位003（顺序不限）即中后三组选三，或者后三位012（顺序不限）即中后三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码百位、十位、个位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的后三位之和（不含豹子）,1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,后三组选和值B面,0
91,后三,后三组选,组六,5_26_91,1000,6,0.980/0.850,0/13%,1,投注方案：258[br]开奖号码：后三位 852（顺序不限），即中后三组选六。,从0-9选择3个数字组成一注，所选号码与开奖号码的百位、十位、个位相同，后三号码不为对子和豹子，顺序不限，即为中奖,至少选择3个号码,,后三组选六,0
94,后三,后三组选,包胆A面,5_26_94,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：包胆3[br]开奖号码：后三位33x或3xx，含有对子即中后三组选三。后三位3xy，三个不重复的号码即中后三组选六。,从0-9中任意选择1个包胆号码，开奖号码的百位、十位、个位中任意1位与所选包胆号码相同（不含豹子号），即为中奖,竞猜开奖号码后三位必出的1个号码,组三|组六,后三组选包胆A面,0
161,后三,后三组选,包胆B面,5_26_161,1000|1000,162|324,0.980/0.850,0/13%,1,投注方案：包胆3[br]开奖号码：后三位33x或3xx，含有对子即中后三组选三。后三位3xy，三个不重复的号码即中后三组选六。,从0-9中任意选择1个包胆号码，开奖号码的百位、十位、个位中任意1位与所选包胆号码相同（不含豹子号），即为中奖,竞猜开奖号码后三位必出的1个号码,组三|组六,后三组选包胆B面,0
92,后三,后三组选,混合组选,5_26_92,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：001 和 123[br]开奖号码：后三位 010（顺序不限），即中后三组选三，或者后三位 312（顺序不限），即中后三组选六。,手动输入一个三位数号码组成一注（不含豹子号），开奖号码的百位、十位、个位符合后三组三或组六均为中奖,输入3个有效号码组成1注,组三|组六,后三混合组选,0
168,后三,后三组选,混合通选,5_26_168,1000|1000,270|720,0.980/0.850,0/13%,1,投注方案：组三通选[br]开奖号码：12334，即中后三组三通选,对开奖号码后三位置号码的组三或组六形态进行投注（不含豹子），后三开奖号码的形态和投注的形态一致，即中奖。,竞猜后三位开奖号码的组三或组六形态,组三|组六,后三混合通选,0
95,后三,后三其他,和值尾数,5_27_95,1000,100,0.980/0.850,0/13%,1,投注方案：和值尾数8[br]开奖号码：后三位936，和值尾数为8，即中和值尾数。,从0-9任选1个号码，所选数值等于开奖号码的百位、十位、个位三个数字相加之和的尾数，即为中奖,竞猜开奖号码后三位和值的尾数,,后三和值尾数,0
96,后三,后三其他,特殊号码,5_27_96,1000|1000|1000,10|270|60,0.980/0.850,0/13%,1,投注方案：豹子对子顺子[br]开奖号码：后三位888，即中豹子；后三位678，即中顺子；后三位558即中对子。,选择一个号码形态，所选的号码特殊属性和开奖号码后3位属性一致，即为中奖。其中：1、顺子号的百、十、个位不分顺序；2、对子号指的是开奖号码的后三位当中，任意2位数字相同的三位数号码。,竞猜开奖号码后三位的形态,豹子|对子|顺子,后三特殊号码,0
107,后三,不定位,一码不定位,5_35_107,1000,271,0.980/0.850,0/13%,1,投注方案：1[br]开奖号码：后三位至少出现1个1，即中后三一码不定位。,从0-9中选择1个号码，每注由1个号码组成，只要开奖号码的百位、十位、个位中包含所选号码，即为中奖,至少选择1个号码,,后三一码不定位,0
108,后三,不定位,二码不定位,5_35_108,1000,54,0.980/0.850,0/13%,1,投注方案：12[br]开奖号码：后三位至少出现1和2各一个，即中后三二码不定位。,从0-9中选择2个号码，每注由2个不同号码组成，开奖号码的百位、十位、个位中包含所选号码，即为中奖,至少选择2个号码,,后三二码不定位,0
97,四星,后四直选,复式,6_28_97,10000,1,0.980/0.850,0/13%,1,投注方案：3456[br]开奖号码：3456，即中四星直选。,从千位、百位、十位、个位选择一个4位数号码组成一注，所选号码与开奖号码全部相同，且顺序一致，即为中奖,竞猜开奖号码的后四位,,后四直选复式,0
98,四星,后四直选,单式,6_28_98,10000,1,0.980/0.850,0/13%,1,投注方案：3456[br]开奖号码：3456，即中四星直选。,手动输入号码，至少输入1个四位数号码组成一注，从千位、百位、十位、个位中选择一个4位数号码组成一注，所选号码与开奖号码全部相同，且顺序一致，即为中奖,输入4个有效号码组成1注,,后四直选单式,0
183,四星,后四组选,组选24,6_182_183,10000,24,0.980/0.850,0/13%,1,投注方案：号码选择0568[br]开奖号码：15068（后四号码顺序不限），即中后四组选24。,至少选择4个号码投注，所选号码与开奖号码的后四位号码一致，顺序不限，即中奖,至少选择4个号码,,后四组选24,0
184,四星,后四组选,组选12,6_182_184,10000,12,0.980/0.850,0/13%,1,投注方案：二重号：8，单号：06[br]开奖号码：10688（后四号码顺序不限），即中后四组选12。,至少选择1个二重号码和2个单号号码，所选号码与开奖号码的后四位号码一致，顺序不限，即中奖。,至少选择1个二重号和2个单号,,后四组选12,0
185,四星,后四组选,组选6,6_182_185,10000,6,0.980/0.850,0/13%,1,投注方案：二重号:28[br]开奖号码：12288（后四号码顺序不限），即中后四组选6。,从“二重号”选择两个号码组成一注，所选号码与开奖号码的后四位号码一致，顺序不限，即为中奖,至少选择2个二重号码,,后四组选6,0
186,四星,后四组选,组选4,6_182_186,10000,4,0.980/0.850,0/13%,1,投注方案：三重号:8：单号2[br]开奖号码：18828（后四号码顺序不限），即中后四组选4。,从“三重号”选择一个号码，“单号”中选择一个号码组成一注，所选号码与开奖号码的后四位号码一致，顺序不限，即为中奖,至少选择1个三重号和1个单号,,后四组选4,0
109,四星,前四,一码不定位,6_36_109,10000,3439,0.980/0.850,0/13%,1,投注方案：1[br]开奖号码：前四位，至少出现1个1，即中前四一码不定位。,从0-9中选择1个号码，每注由1号码组成，只要开奖号码的万位、千位、百位、十位中包含所选号码，即为中奖,至少选择1个号码,,前四一码不定位,0
110,四星,前四,二码不定位,6_36_110,10000,974,0.980/0.850,0/13%,1,投注方案：12[br]开奖号码：前四位，至少出现1和2各一个，即中前四二码不定位。,从0-9中选择2个号码，每注由2个不同号码组成，开奖号码的万位、千位、百位、十位中包含所选号码，即为中奖,至少选择2个号码,,前四二码不定位,0
111,四星,后四,一码不定位,6_37_111,10000,3439,0.980/0.850,0/13%,1,投注方案：1[br]开奖号码：后四位，至少出现1个1，即中后四一码不定位。,从0-9中选择1个号码，每注由1号码组成，只要开奖号码的千位、百位、十位、个位中包含所选号码，即为中奖,至少选择1个号码,,后四一码不定位,0
112,四星,后四,二码不定位,6_37_112,10000,974,0.980/0.850,0/13%,1,投注方案：12[br]开奖号码：后四位，至少出现1和2各一个，即中后四二码不定位。,从0-9中选择2个号码，每注由2个不同号码组成，开奖号码的千位、百位、十位、个位中包含所选号码，即为中奖,至少选择2个号码,,后四二码不定位,0
99,五星,五星直选,复式,7_29_99,100000,1,0.980/0.850,0/13%,1,投注方案：13456[br]开奖号码：13456，即中五星直选。,从万位、千位、百位、十位、个位选择一个5位数号码组成一注，所选号码与开奖号码全部相同，且顺序一致，即为中奖,竞猜开奖号码的全部5位,,五星直选复式,0
100,五星,五星直选,单式,7_29_100,100000,1,0.980/0.850,0/13%,1,投注方案：13456[br]开奖号码：13456，即中五星直选。,手动输入号码，至少输入1个五位数号码组成一注，从万位、千位、百位、十位、个位中选择一个5位数号码组成一注，所选号码与开奖号码全部相同，且顺序一致，即为中奖,输入5个有效号码组成1注,,五星直选单式,0
171,五星,五星组选,组选120,7_169_171,100000,120,0.980/0.850,0/13%,1,投注方案：29847[br]开奖号码：29847（顺序不限），即中奖。,从0-9中，任意选择5个号码组成一注，所选号码与开奖号码万位、千位、百位、十位、个位相同，顺序不限，即为中奖。,至少选择5个号码,,五星组选120,0
172,五星,五星组选,组选60,7_169_172,100000,60,0.980/0.850,0/13%,1,投注方案：二重号：3；单号：082[br]开奖号码：33082（顺序不限），即中奖,选择1个二重号和3个单号号码组成一注，所选号码都出现在开奖号码中，且二重号号码在开奖号码中出现2次，即中奖。,选择1个二重号和3个单号,,五星组选60,0
173,五星,五星组选,组选30,7_169_173,100000,30,0.980/0.850,0/13%,1,投注方案：二重号：2，3；单号：5[br]开奖号码：22533（顺序不限），即中奖。,选择2个二重号和1个单号号码，所选号码都出现在开奖号码中，且二重号分别在开奖号码中出现2次，即中奖。,选择2个二重号和1个单号。,,五星组选30,0
174,五星,五星组选,组选20,7_169_174,100000,20,0.980/0.850,0/13%,1,投注方案：三重号：3；单号：12[br]开奖号码：33312（顺序不限），即中奖。,选择1个三重号和2个单号，所选号码都出现在开奖号码中，且三重号号码在开奖号码中出现3次，即中奖。,选择1个三重号和2个单号。,,五星组选20,0
175,五星,五星组选,组选10,7_169_175,100000,10,0.980/0.850,0/13%,1,投注方案：三重号：3；二重号：2[br]开奖号码：33322（顺序不限），即中奖。,选择1个三重号和1个二重号，所选号码都出现在开奖号码中，且三重号和二重号号码分别在开奖号码中出现3次和2次，即中奖。,选择1个三重号和1个二重号。,,五星组选10,0
176,五星,五星组选,组选5,7_169_176,100000,5,0.980/0.850,0/13%,1,投注方案：四重号：3；单号：2[br]开奖号码：33332（顺序不限），即中奖。,选择1个四重号和1个单号，所选号码都出现在开奖号码中，且四重号号码在开奖号码中出现4次，即中奖。,选择1个四重号和1个单号。,,五星组选5,0
113,五星,五星,一码不定位,7_38_113,100000,40951,0.980/0.850,0/13%,1,投注方案：1[br]开奖号码：至少出现1个1，即中五星一码不定位。,从0-9中选择1个号码，每注由1个号码组成，只要开奖号码的万位、千位、百位、十位、个位中包含所选号码，即为中奖,至少选择1个号码,,五星一码不定位,0
114,五星,五星,二码不定位,7_38_114,100000,14670,0.980/0.850,0/13%,1,投注方案：12[br]开奖号码：至少出现1和2各一个，即中五星二码不定位。,从0-9中选择2个号码，每注由2个不同号码组成，开奖号码的万位、千位、百位、十位、个位中包含所选号码，即为中奖,至少选择2个号码,,五星二码不定位,0
115,五星,五星,三码不定位,7_38_115,100000,4350,0.980/0.850,0/13%,1,投注方案：123[br]开奖号码：至少出现1、2、3各一个，即中五星三码不定位。,从0-9中选择3个号码，每注由3个不同号码组成，开奖号码的万位、千位、百位、十位、个位中包含所选号码，即为中奖,至少选择3个号码,,五星三码不定位,0
177,五星,特殊玩法,一帆风顺,7_170_177,100000,40951,0.980/0.850,0/13%,1,投注方案：2[br]开奖号码：53627，即中奖。,从0-9任意选择1个号码组成1注，若所选号码在开奖号码中至少出现1次，即中奖。,至少选择1个号码。,,一帆风顺,0
178,五星,特殊玩法,好事成双,7_170_178,100000,8146,0.980/0.850,0/13%,1,投注方案：2[br]开奖号码：22768，即中奖。,从0-9任意选择1个号码组成1注，若所选号码在开奖号码中至少出现2次，即中奖。,至少选择1个号码。,,好事成双,0
179,五星,特殊玩法,三星报喜,7_170_179,100000,856,0.980/0.850,0/13%,1,投注方案：2[br]开奖号码：22234，即中奖,从0-9中任意选择1个号码组成1注，若所选号码在开奖号码中至少出现3次，即中奖,至少选择1个号码,,三星报喜,0
180,五星,特殊玩法,四季发财,7_170_180,100000,46,0.980/0.850,0/13%,1,投注方案：2[br]开奖号码：22223，即中奖。,选择1个号码组成1注，若所选号码在开奖号码中至少出现4次，即中奖。,至少选择1个号码。,,四季发财,0
181,五星,特殊玩法,梭哈,7_170_181,100000|100000|100000|100000|100000|100000|100000|100000,10|450|840|900|7200|21600|29400|50400,0.980/0.850,0/13%,1,投注方案：葫芦[br]开奖号码：33322，即中奖。,竞猜开奖号码在梭哈玩法中的形态。[br]*五梅：开奖号码中的五个号码全部相同，如：22222。[br]*炸弹：开奖号码中有且仅有四个号码相同，如：11112，顺序不限。[br]*顺子：开奖号码中五个号码可连成一条顺，如：12345，其中01234也是顺子，67890不算顺子，顺序不限。[br]*葫芦：开奖号码中有且仅有三个号相同，另外两个号码成对子，如：33322，顺序不限。[br]*三条：开奖号码中有且仅有三个号码相同，另外两个号码为散号，如：33312，顺序不限。[br]*两对：开奖号码中有且只有两个不同的对子，如：22331，顺序不限。[br] *五散：开奖号码中的五个号码都是由单一形态的散号，不成对子，顺子等，如：16253，顺序不限。[br]*单对：开奖号码中有且只有一个对子，如：22345，顺序不限。,至少选择1个形态。,五梅|炸弹|顺子|葫芦|三条|两对|五散|单对,梭哈,0
141,大小单双,和值,组合大小单双,8_139_141,100000|100000,26508|23492,0.980/0.850,0/13%,1,投注方案：大单[br]开奖号码：88889，五星和值为41（即大单），即中五星和值大小单双组合,从大单、大双、小单、小双四个号码中至少选一个组成一注，所选号码与开奖号码的五星和值大小单双组合属性一致即为中奖（0-22为小，23-45为大，和值奇数为单，和值偶数为双）,竞猜5位开奖号码和值的属性,大单，小双|大双，小单,五星和值组合大小单双,0
103,大小单双,前二,大小单双,8_32_103,4,1,0.980/0.850,0/13%,1,投注方案：大单[br]开奖号码：万位与千位“大单”，即中前二大小单双。,从万位、千位中的“大（56789）、小（01234）、单（13579）、双（02468）”中至少各选一个组成一注，所选号码的位置、形态与开奖号码的位置、形态相同，即为中奖,竞猜开奖号码前两位的属性,,前二大小单双,0
104,大小单双,前三,大小单双,8_33_104,8,1,0.980/0.850,0/13%,1,投注方案：大单大[br]开奖号码：万位、千位、百位“大单大”，即中前三大小单双。,万位、千位、百位中的“大（56789）、小（01234）、单（13579）、双（02468）”中至少各选一个组成一注，所选号码的位置、形态与开奖号码的位置、形态相同，即为中奖,竞猜开奖号码前三位的属性,,前三大小单双,0
102,大小单双,后三,大小单双,8_31_102,8,1,0.980/0.850,0/13%,1,投注方案：大单大[br]开奖号码：百位、十位、个位“大单大”，即中后三大小单双。,从百位、十位、个位中的“大（56789）、小（01234）、单（13579）、双（02468）”中至少各选一个组成一注，所选号码的位置、形态与开奖号码的位置、形态相同，即为中奖,竞猜开奖号码后三位的属性,,后三大小单双,0
101,大小单双,后二,大小单双,8_30_101,4,1,0.980/0.850,0/13%,1,投注方案：大单[br]开奖号码：十位与个位“大单”，即中后二大小单双。,从十位、个位中的“大（56789）、小（01234）、单（13579）、双（02468）”中至少各选一个组成一注，所选号码的位置、形态与开奖号码的位置、形态相同，即为中奖,竞猜开奖号码后两位的属性,,后二大小单双,0
138,大小单双,定位,大小单双,8_137_138,2,1,0.980/0.850,0/13%,1,投注方案：万位大[br]开奖号码：万位9，即中定位胆万位大小单双,从万、千、百、十、个位中的“大（56789）、小（01234）、单（13579）、双（02468）”中至少选一个组成一注，所选号码的位置、形态与开奖号码的位置、形态相同，即为中奖,竞猜开奖号码的属性,,定位胆大小单双,0
116,任选二,任二直选,复式,10_39_116,100,1,0.980/0.850,0/13%,1,投注方案：万位5，百位8[br]开奖号码：51812，即中任二直选。,从万位、千位、百位、十位、个位中至少两位上各选1个号码组成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序一致，即为中奖,至少选择2个位置，每位各1个号码,,任二直选复式,0
118,任选二,任二直选,和值A面,10_39_118,100,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位，选择和值号码13[br]开奖号码：51812，即中任二直选（和值）。,从万位、千位、百位、十位、个位中至少选择两个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值相同，即为中奖,至少选择2个位置，猜这2位的和值,,任二直选和值A面,0
162,任选二,任二直选,和值B面,10_39_162,100|100|100|100|100|100|100|100|100|100,1|2|3|4|5|6|7|8|9|10,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位，选择和值号码13[br]开奖号码：51812，即中任二直选（和值）。,从万位、千位、百位、十位、个位中至少选择两个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值相同，即为中奖,至少选择2个位置，猜这2位的和值,0，18|1，17|2，16|3，15|4，14|5，13|6，12|7，11|8，10|9,任二直选和值B面,0
117,任选二,任二直选,单式,10_39_117,100,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位，输入号码58[br]开奖号码：51812，即中任二直选（单式）。,从万位、千位、百位、十位、个位中至少选择两个位置，手动输入一个两位数的号码构成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序一致，即为中奖,至少选择2个位置，猜这2位的号码,,任二直选单式,0
119,任选二,任二组选,复式,10_40_119,50,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位，选择号码85[br]开奖号码：51812或者81512，即中任二组选。,从万位、千位、百位、十位、个位中至少选择两个位置，号码区至少选择两个号码构成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择2个位置2个号码,,任二组选复式,0
121,任选二,任二组选,和值A面,10_40_121,50,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位，选择和值号码13[br]开奖号码：51812，即中任二组选和值。,从万位、千位、百位、十位、个位中至少选择两个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值相同（顺序不限，不含对子），即为中奖,至少选择2个位置，猜这2位的和值,,任二组选和值A面,0
163,任选二,任二组选,和值B面,10_40_163,50|50|50|50|50|50|50|50|50,1|1|2|2|3|3|4|4|5,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位，选择和值号码13[br]开奖号码：51812，即中任二组选和值。,从万位、千位、百位、十位、个位中至少选择两个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值相同（顺序不限，不含对子），即为中奖,至少选择2个位置，猜这2位的和值,1，17|2，16|3，15|4，14|5，13|6，12|7，11|8，10|9,任二组选和值B面,0
120,任选二,任二组选,单式,10_40_120,50,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位，数入号码58[br]开奖号码：51812，即中任二组选（单式）。,从万位、千位、百位、十位、个位中至少选择两个位置，手动输入一个两位数的号码构成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择2个位置，猜这2位的号码,,任二组选单式,0
122,任选三,任三直选,复式,11_41_122,1000,1,0.980/0.850,0/13%,1,投注方案：万位5，百位8，个位2[br]开奖号码：51812，即中任三直选。,从万位、千位、百位、十位、个位中至少三位上各选1个号码组成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序一致，即为中奖,至少选择3个位置，每位各1个号码,,任三直选复式,0
124,任选三,任三直选,和值A面,11_41_124,1000,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位、个位，选择和值号码15[br]开奖号码：51812，即中任三直选（和值）。,从万位、千位、百位、十位、个位中至少选择三个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值相同，即为中奖,至少选择3个位置，猜这3位的和值,,任三直选和值A面,0
164,任选三,任三直选,和值B面,11_41_164,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,1|3|6|10|15|21|28|36|45|55|63|69|73|75,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位、个位，选择和值号码15[br]开奖号码：51812，即中任三直选（和值）。,从万位、千位、百位、十位、个位中至少选择三个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值相同，即为中奖,至少选择3个位置，猜这3位的和值,0，27|1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,任三直选和值B面,0
123,任选三,任三直选,单式,11_41_123,1000,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、百位、个位，输入号码582[br]开奖号码：51812，即中任三直选（单式）。,从万位、千位、百位、十位、个位中至少选择三个位置，手动输入一个三位数的号码构成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序一致，即为中奖,至少选择3个位置，猜这3位的号码,,任三直选单式,0
125,任选三,任三组选,组三复式,11_42_125,1000,3,0.980/0.850,0/13%,1,投注方案：位置选择万位、十位、个位，选择号码12[br]开奖号码：11812，即中任三组三。,从万位、千位、百位、十位、个位中至少三位置，号码区至少选择两个号码构成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择3个位置2个号码,,任选三组三复式,0
127,任选三,任三组选,组六复式,11_42_127,1000,6,0.980/0.850,0/13%,1,投注方案：位置选择万位、十位、个位，选择号码512[br]开奖号码：512，即中任三组六。,从万位、千位、百位、十位、个位中至少三位置，号码区至少选择三个号码构成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择3位3个号码,,任选三组六复式,0
130,任选三,任三组选,和值A面,11_42_130,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：位置选择万位、十位、个位，选择和值号码8[br]开奖号码：51812，即中任三组选和值。,从万位、千位、百位、十位、个位中至少选择三个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值（不包含豹子号）相同，且顺序不限，即为中奖,至少选择3个位置，竞猜这3位开奖号码的和值,组三|组六,任三组选和值A面,0
126,任选三,任三组选,组三单式,11_42_126,1000,3,0.980/0.850,0/13%,1,投注方案：位置选择万位、十位、个位，选择号码112[br]开奖号码：11812，即中任三组三（单式）。,从万位、千位、百位、十位、个位中至少选择三个位置，至少输入一个三位数号码（三个数字中必须有两个数字相同，不含豹子），所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择3个位置，猜这3位的号码,,任选三组三单式,0
128,任选三,任三组选,组六单式,11_42_128,1000,6,0.980/0.850,0/13%,1,投注方案：位置选择万位、十位、个位，选择号码512[br]开奖号码：51812，即中任三组六（单式）。,从万位、千位、百位、十位、个位中至少选择三个位置，至少输入一个三位数号码（三个数字完全不同），所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择3个位置，猜这3位的号码,,任选三组六单式,0
165,任选三,任三组选,和值B面,11_42_165,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,3|6|6$12|12$24|15$30|18$36|24$48|30$60|33$66|39$78|42$84|42$84|45$90,0.980/0.850,0/13%,1,投注方案：位置选择万位、十位、个位，选择和值号码8[br]开奖号码：51812，即中任三组选和值。,从万位、千位、百位、十位、个位中至少选择三个位置，至少选择一个和值号码构成一注，所选号码与开奖号码的和值（不包含豹子号）相同，且顺序不限，即为中奖,至少选择3个位置，猜这3位的和值,1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,任三组选和值B面,0
129,任选三,任三组选,混合组选,11_42_129,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：位置选择万位、十位、个位，输入号码512[br]开奖号码：51812，即中任三混合组选。,从万位、千位、百位、十位、个位中至少三位置，手动输入至少三个号码构成一注（不包含豹子），所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择3个位置，猜这3位的号码,组三|组六,任三混合组选,0
131,任选四,任四直选,复式,12_43_131,10000,1,0.980/0.850,0/13%,1,投注方案：万位5，千位1、百位8，十位1[br]开奖号码：51812，即中任四直选。,从万位、千位、百位、十位、个位中至少四位上各选1个号码组成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序一致，即为中奖,至少选择4个位置，每位各1个号码,,任四直选复式,0
132,任选四,任四直选,单式,12_43_132,10000,1,0.980/0.850,0/13%,1,投注方案：位置选择万位、千位、百位、十位，输入号码5181[br]开奖号码：51812，即中任四直选（单式）。,从万位、千位、百位、十位、个位中至少选择四个位置，手动输入一个四位数的号码构成一注，所选号码与开奖号码的指定位置上的号码相同，且顺序不限，即为中奖,至少选择4个位置，猜这4位的号码,,任四直选单式,0
133,任选四,任四组选,组选24,12_44_133,10000,24,0.980/0.850,0/13%,1,投注方案：位置选择千位、百位、十位、个位，号码选择0568[br]开奖号码：10568（指定位置号码顺序不限），即中任四组选24。,从万位、千位、百位、十位、个位中至少选择四个位置，号码区至少选择四个号码构成一注，所选号码与开奖号码的指定位置上的号码相关，且顺序不限，即为中奖,至少选择4个位置4个号码,,任四组选24,0
134,任选四,任四组选,组选12,12_44_134,10000,12,0.980/0.850,0/13%,1,投注方案：位置选择千位、百位、十位、个位，二重号：8，单号：06[br]开奖号码：10688（指定位置号码顺序不限），即中任四组选12。,从万位、千位、百位、十位、个位中至少选择四个位置，从“二重号”选择一个号码，“单号”中选择两个号码组成一注，所选号码与开奖号码的指定位置上的号码相关，且顺序不限，即为中奖,至少选4个位置，1个二重号和2个单号,,任四组选12,0
135,任选四,任四组选,组选6,12_44_135,10000,6,0.980/0.850,0/13%,1,投注方案：位置选择千位、百位、十位、个位，二重号:28[br]开奖号码：12288（指定位置号码顺序不限），即中任四组选6。,从万位、千位、百位、十位、个位中至少选择四个位置，从“二重号”选择两个号码组成一注，所选号码与开奖号码的指定位置上的号码相关，且顺序不限，即为中奖,至少选择4个位置，2个二重号,,任四组选6,0
136,任选四,任四组选,组选4,12_44_136,10000,4,0.980/0.850,0/13%,1,投注方案：位置选择千位、百位、十位、个位，三重号:8：单号2[br]开奖号码：18828（指定位置号码顺序不限），即中任四组选4。,从万位、千位、百位、十位、个位中至少选择四个位置，从“三重号”选择一个号码，“单号”中选择一个号码组成一注，所选号码与开奖号码的指定位置上的号码相关，且顺序不限，即为中奖,至少选4 个位置，1个三重号和1个单号,,任四组选4,0
